K,L,AvgSuccessRate,VarianceSuccessRate,AvgDurationMs,VarianceDurationMs,SampleCount,Ratio,AvgRecoveryFraction,VarianceRecoveryFraction
1,1,1.0000,0.0000,560.392,7908.550,101,0.024752,1.0000,0.0000
1,2,1.0000,0.0000,545.497,9359.538,101,0.034653,1.0000,0.0000
1,3,1.0000,0.0000,530.307,7591.011,101,0.044554,1.0000,0.0000
1,4,1.0000,0.0000,532.019,7401.784,101,0.054455,1.0000,0.0000
1,5,1.0000,0.0000,526.565,5000.338,101,0.064356,1.0000,0.0000
1,6,1.0000,0.0000,524.022,6690.717,101,0.074257,1.0000,0.0000
1,7,1.0000,0.0000,519.193,6027.586,101,0.084158,1.0000,0.0000
1,8,1.0000,0.0000,518.237,6183.643,101,0.094059,1.0000,0.0000
1,9,1.0000,0.0000,516.429,5833.544,101,0.103960,1.0000,0.0000
1,10,1.0000,0.0000,517.867,6591.514,101,0.113861,1.0000,0.0000
1,11,1.0000,0.0000,518.295,5480.723,101,0.123762,1.0000,0.0000
1,12,1.0000,0.0000,523.238,7553.824,101,0.133663,1.0000,0.0000
1,13,1.0000,0.0000,521.444,6459.225,101,0.143564,1.0000,0.0000
1,14,1.0000,0.0000,522.120,7248.900,101,0.153465,1.0000,0.0000
1,16,1.0000,0.0000,527.436,9468.878,101,0.173267,1.0000,0.0000
1,17,1.0000,0.0000,531.796,8664.075,101,0.183168,1.0000,0.0000
1,19,1.0000,0.0000,538.285,6487.908,101,0.202970,1.0000,0.0000
1,21,1.0000,0.0000,550.377,7181.826,101,0.222772,1.0000,0.0000
1,23,1.0000,0.0000,535.652,6868.800,101,0.242574,1.0000,0.0000
1,26,1.0000,0.0000,543.187,7096.800,101,0.272277,1.0000,0.0000
1,28,1.0000,0.0000,539.495,7361.198,101,0.292079,1.0000,0.0000
1,31,1.0000,0.0000,531.872,6984.203,101,0.321782,1.0000,0.0000
1,34,1.0000,0.0000,526.348,6274.819,101,0.351485,1.0000,0.0000
1,37,1.0000,0.0000,521.830,5911.985,101,0.381188,1.0000,0.0000
1,41,1.0000,0.0000,517.535,5354.746,101,0.420792,1.0000,0.0000
1,45,1.0000,0.0000,521.115,6254.896,101,0.460396,1.0000,0.0000
1,50,1.0000,0.0000,517.922,5485.073,101,0.509901,1.0000,0.0000
1,55,1.0000,0.0000,520.101,6279.233,101,0.559406,1.0000,0.0000
1,60,1.0000,0.0000,515.259,5412.533,101,0.608911,1.0000,0.0000
1,66,1.0000,0.0000,517.692,6119.794,101,0.668317,1.0000,0.0000
1,73,1.0000,0.0000,520.205,6625.820,101,0.737624,1.0000,0.0000
1,80,1.0000,0.0000,521.465,6902.135,101,0.806931,1.0000,0.0000
1,88,1.0000,0.0000,524.590,6668.285,101,0.886139,1.0000,0.0000
1,97,1.0000,0.0000,518.895,6091.029,101,0.975248,1.0000,0.0000
2,1,1.0000,0.0000,374.798,3339.573,101,0.039604,1.0000,0.0000
2,2,1.0000,0.0000,361.489,2117.568,101,0.049505,1.0000,0.0000
2,3,1.0000,0.0000,352.888,3566.525,101,0.059406,1.0000,0.0000
2,4,1.0000,0.0000,347.594,3157.206,101,0.069307,1.0000,0.0000
2,5,1.0000,0.0000,347.865,1793.707,101,0.079208,1.0000,0.0000
2,6,1.0000,0.0000,338.843,2259.705,101,0.089109,1.0000,0.0000
2,7,1.0000,0.0000,340.316,1878.862,101,0.099010,1.0000,0.0000
2,8,1.0000,0.0000,337.845,2141.252,101,0.108911,1.0000,0.0000
2,9,1.0000,0.0000,332.380,1805.645,101,0.118812,1.0000,0.0000
2,10,1.0000,0.0000,337.327,2885.425,101,0.128713,1.0000,0.0000
2,11,1.0000,0.0000,340.032,2891.465,101,0.138614,1.0000,0.0000
2,12,1.0000,0.0000,342.737,3985.716,101,0.148515,1.0000,0.0000
2,13,1.0000,0.0000,342.113,3031.390,101,0.158416,1.0000,0.0000
2,14,1.0000,0.0000,333.491,3482.940,101,0.168317,1.0000,0.0000
2,16,1.0000,0.0000,342.398,3801.764,101,0.188119,1.0000,0.0000
2,17,1.0000,0.0000,344.067,2683.028,101,0.198020,1.0000,0.0000
2,19,1.0000,0.0000,349.748,4108.469,101,0.217822,1.0000,0.0000
2,21,1.0000,0.0000,357.002,3543.918,101,0.237624,1.0000,0.0000
2,23,1.0000,0.0000,348.620,3555.543,101,0.257426,1.0000,0.0000
2,26,1.0000,0.0000,349.825,3293.855,101,0.287129,1.0000,0.0000
2,28,1.0000,0.0000,342.920,2410.119,101,0.306931,1.0000,0.0000
2,31,1.0000,0.0000,343.785,2650.704,101,0.336634,1.0000,0.0000
2,34,1.0000,0.0000,339.690,3056.365,101,0.366337,1.0000,0.0000
2,37,1.0000,0.0000,341.758,2816.428,101,0.396040,1.0000,0.0000
2,41,1.0000,0.0000,337.180,3417.752,101,0.435644,1.0000,0.0000
2,45,1.0000,0.0000,333.848,2364.269,101,0.475248,1.0000,0.0000
2,50,1.0000,0.0000,332.755,2497.408,101,0.524752,1.0000,0.0000
2,55,1.0000,0.0000,338.778,3297.181,101,0.574257,1.0000,0.0000
2,60,1.0000,0.0000,340.056,2917.317,101,0.623762,1.0000,0.0000
2,66,1.0000,0.0000,334.555,2848.626,101,0.683168,1.0000,0.0000
2,73,1.0000,0.0000,333.342,2671.200,101,0.752475,1.0000,0.0000
2,80,1.0000,0.0000,328.136,2879.001,101,0.821782,1.0000,0.0000
2,88,1.0000,0.0000,334.752,2536.634,101,0.900990,1.0000,0.0000
2,97,1.0000,0.0000,334.715,4001.020,101,0.990099,1.0000,0.0000
3,1,1.0000,0.0000,325.147,4418.637,101,0.054455,1.0000,0.0000
3,2,1.0000,0.0000,315.546,1884.800,101,0.064356,1.0000,0.0000
3,3,1.0000,0.0000,308.572,2624.379,101,0.074257,1.0000,0.0000
3,4,1.0000,0.0000,298.157,1976.219,101,0.084158,1.0000,0.0000
3,5,1.0000,0.0000,297.002,1864.708,101,0.094059,1.0000,0.0000
3,6,1.0000,0.0000,288.601,1771.382,101,0.103960,1.0000,0.0000
3,7,1.0000,0.0000,292.326,1285.229,101,0.113861,1.0000,0.0000
3,8,1.0000,0.0000,286.650,1332.754,101,0.123762,1.0000,0.0000
3,9,1.0000,0.0000,284.811,1320.329,101,0.133663,1.0000,0.0000
3,10,1.0000,0.0000,291.951,1671.447,101,0.143564,1.0000,0.0000
3,11,1.0000,0.0000,291.204,2215.918,101,0.153465,1.0000,0.0000
3,12,1.0000,0.0000,287.343,2372.401,101,0.163366,1.0000,0.0000
3,13,1.0000,0.0000,285.135,2186.346,101,0.173267,1.0000,0.0000
3,14,1.0000,0.0000,289.893,2052.646,101,0.183168,1.0000,0.0000
3,16,1.0000,0.0000,291.023,3007.661,101,0.202970,1.0000,0.0000
3,17,1.0000,0.0000,291.782,3103.588,101,0.212871,1.0000,0.0000
3,19,1.0000,0.0000,295.739,2608.675,101,0.232673,1.0000,0.0000
3,21,1.0000,0.0000,298.992,2070.845,101,0.252475,1.0000,0.0000
3,23,1.0000,0.0000,297.016,2577.499,101,0.272277,1.0000,0.0000
3,26,1.0000,0.0000,295.748,3238.259,101,0.301980,1.0000,0.0000
3,28,1.0000,0.0000,293.760,1972.291,101,0.321782,1.0000,0.0000
3,31,1.0000,0.0000,296.797,2695.958,101,0.351485,1.0000,0.0000
3,34,1.0000,0.0000,283.684,1595.391,101,0.381188,1.0000,0.0000
3,37,1.0000,0.0000,286.632,2311.469,101,0.410891,1.0000,0.0000
3,41,1.0000,0.0000,288.299,1990.327,101,0.450495,1.0000,0.0000
3,45,1.0000,0.0000,286.556,1339.881,101,0.490099,1.0000,0.0000
3,50,1.0000,0.0000,287.041,1755.283,101,0.539604,1.0000,0.0000
3,55,1.0000,0.0000,288.116,1444.205,101,0.589109,1.0000,0.0000
3,60,1.0000,0.0000,286.459,1643.787,101,0.638614,1.0000,0.0000
3,66,1.0000,0.0000,286.952,2007.060,101,0.698020,1.0000,0.0000
3,73,1.0000,0.0000,289.953,2220.090,101,0.767327,1.0000,0.0000
3,80,1.0000,0.0000,284.616,2474.639,101,0.836634,1.0000,0.0000
3,88,1.0000,0.0000,291.661,2190.868,101,0.915842,1.0000,0.0000
3,97,1.0000,0.0000,292.022,2304.893,101,1.004950,1.0000,0.0000
4,1,1.0000,0.0000,303.987,2663.847,101,0.069307,1.0000,0.0000
4,2,1.0000,0.0000,288.390,2303.389,101,0.079208,1.0000,0.0000
4,3,1.0000,0.0000,282.300,1929.720,101,0.089109,1.0000,0.0000
4,4,1.0000,0.0000,272.066,2081.216,101,0.099010,1.0000,0.0000
4,5,1.0000,0.0000,279.951,2311.534,101,0.108911,1.0000,0.0000
4,6,1.0000,0.0000,270.722,1884.907,101,0.118812,1.0000,0.0000
4,7,1.0000,0.0000,269.177,1184.066,101,0.128713,1.0000,0.0000
4,8,1.0000,0.0000,267.771,1425.239,101,0.138614,1.0000,0.0000
4,9,1.0000,0.0000,263.100,1894.277,101,0.148515,1.0000,0.0000
4,10,1.0000,0.0000,263.638,1863.415,101,0.158416,1.0000,0.0000
4,11,1.0000,0.0000,266.444,2351.169,101,0.168317,1.0000,0.0000
4,12,1.0000,0.0000,271.314,1613.044,101,0.178218,1.0000,0.0000
4,13,1.0000,0.0000,267.198,2007.601,101,0.188119,1.0000,0.0000
4,14,1.0000,0.0000,266.231,2247.577,101,0.198020,1.0000,0.0000
4,16,1.0000,0.0000,269.731,2302.035,101,0.217822,1.0000,0.0000
4,17,1.0000,0.0000,272.715,2293.828,101,0.227723,1.0000,0.0000
4,19,1.0000,0.0000,273.492,2144.571,101,0.247525,1.0000,0.0000
4,21,1.0000,0.0000,276.234,2408.218,101,0.267327,1.0000,0.0000
4,23,1.0000,0.0000,278.610,2543.595,101,0.287129,1.0000,0.0000
4,26,1.0000,0.0000,275.526,2860.454,101,0.316832,1.0000,0.0000
4,28,1.0000,0.0000,277.075,2429.070,101,0.336634,1.0000,0.0000
4,31,1.0000,0.0000,274.461,2428.593,101,0.366337,1.0000,0.0000
4,34,1.0000,0.0000,267.279,1667.041,101,0.396040,1.0000,0.0000
4,37,1.0000,0.0000,266.009,2033.688,101,0.425743,1.0000,0.0000
4,41,1.0000,0.0000,268.156,2493.729,101,0.465347,1.0000,0.0000
4,45,1.0000,0.0000,271.988,2317.329,101,0.504950,1.0000,0.0000
4,50,1.0000,0.0000,266.254,1880.585,101,0.554455,1.0000,0.0000
4,55,1.0000,0.0000,264.468,2040.095,101,0.603960,1.0000,0.0000
4,60,1.0000,0.0000,266.071,1408.934,101,0.653465,1.0000,0.0000
4,66,1.0000,0.0000,266.706,2399.787,101,0.712871,1.0000,0.0000
4,73,1.0000,0.0000,265.393,1764.806,101,0.782178,1.0000,0.0000
4,80,1.0000,0.0000,261.729,2273.801,101,0.851485,1.0000,0.0000
4,88,1.0000,0.0000,261.806,2103.855,101,0.930693,1.0000,0.0000
4,97,1.0000,0.0000,258.300,2234.088,101,1.019802,1.0000,0.0000
5,1,1.0000,0.0000,287.715,2256.586,101,0.084158,1.0000,0.0000
5,2,1.0000,0.0000,278.653,1640.074,101,0.094059,1.0000,0.0000
5,3,1.0000,0.0000,267.764,2096.638,101,0.103960,1.0000,0.0000
5,4,1.0000,0.0000,262.954,1406.308,101,0.113861,1.0000,0.0000
5,5,1.0000,0.0000,262.554,1844.845,101,0.123762,1.0000,0.0000
5,6,1.0000,0.0000,259.509,2030.468,101,0.133663,1.0000,0.0000
5,7,1.0000,0.0000,258.534,1716.217,101,0.143564,1.0000,0.0000
5,8,1.0000,0.0000,253.202,1937.167,101,0.153465,1.0000,0.0000
5,9,1.0000,0.0000,254.353,1955.232,101,0.163366,1.0000,0.0000
5,10,1.0000,0.0000,255.861,1894.190,101,0.173267,1.0000,0.0000
5,11,1.0000,0.0000,256.707,1928.285,101,0.183168,1.0000,0.0000
5,12,1.0000,0.0000,252.831,1750.154,101,0.193069,1.0000,0.0000
5,13,1.0000,0.0000,251.628,1954.040,101,0.202970,1.0000,0.0000
5,14,1.0000,0.0000,247.620,1659.796,101,0.212871,1.0000,0.0000
5,16,1.0000,0.0000,257.845,2592.521,101,0.232673,1.0000,0.0000
5,17,1.0000,0.0000,262.183,2944.069,101,0.242574,1.0000,0.0000
5,19,1.0000,0.0000,266.117,1885.194,101,0.262376,1.0000,0.0000
5,21,1.0000,0.0000,261.722,1807.069,101,0.282178,1.0000,0.0000
5,23,1.0000,0.0000,266.080,2855.960,101,0.301980,1.0000,0.0000
5,26,1.0000,0.0000,259.376,2263.729,101,0.331683,1.0000,0.0000
5,28,1.0000,0.0000,264.635,2293.177,101,0.351485,1.0000,0.0000
5,31,1.0000,0.0000,264.615,2180.040,101,0.381188,1.0000,0.0000
5,34,1.0000,0.0000,255.076,1833.106,101,0.410891,1.0000,0.0000
5,37,1.0000,0.0000,256.208,1755.641,101,0.440594,1.0000,0.0000
5,41,1.0000,0.0000,250.529,2314.809,101,0.480198,1.0000,0.0000
5,45,1.0000,0.0000,254.811,1882.379,101,0.519802,1.0000,0.0000
5,50,1.0000,0.0000,255.262,2255.723,101,0.569307,1.0000,0.0000
5,55,1.0000,0.0000,255.443,1410.587,101,0.618812,1.0000,0.0000
5,60,1.0000,0.0000,250.858,1159.378,101,0.668317,1.0000,0.0000
5,66,1.0000,0.0000,255.494,1622.019,101,0.727723,1.0000,0.0000
5,73,1.0000,0.0000,253.678,1532.504,101,0.797030,1.0000,0.0000
5,80,1.0000,0.0000,251.070,1569.595,101,0.866337,1.0000,0.0000
5,88,1.0000,0.0000,253.975,1750.552,101,0.945545,1.0000,0.0000
5,97,1.0000,0.0000,256.749,2303.520,101,1.034653,1.0000,0.0000
6,1,1.0000,0.0000,282.275,2097.475,101,0.099010,1.0000,0.0000
6,2,1.0000,0.0000,271.357,1666.153,101,0.108911,1.0000,0.0000
6,3,1.0000,0.0000,262.731,2453.433,101,0.118812,1.0000,0.0000
6,4,1.0000,0.0000,255.953,2312.942,101,0.128713,1.0000,0.0000
6,5,1.0000,0.0000,257.522,1961.655,101,0.138614,1.0000,0.0000
6,6,1.0000,0.0000,253.976,2170.899,101,0.148515,1.0000,0.0000
6,7,1.0000,0.0000,251.048,1867.531,101,0.158416,1.0000,0.0000
6,8,1.0000,0.0000,247.265,1840.944,101,0.168317,1.0000,0.0000
6,9,1.0000,0.0000,251.129,2188.293,101,0.178218,1.0000,0.0000
6,10,1.0000,0.0000,248.680,1297.271,101,0.188119,1.0000,0.0000
6,11,1.0000,0.0000,252.123,1110.049,101,0.198020,1.0000,0.0000
6,12,1.0000,0.0000,248.425,1747.380,101,0.207921,1.0000,0.0000
6,13,1.0000,0.0000,247.109,1888.661,101,0.217822,1.0000,0.0000
6,14,1.0000,0.0000,247.770,2372.201,101,0.227723,1.0000,0.0000
6,16,1.0000,0.0000,248.442,1496.917,101,0.247525,1.0000,0.0000
6,17,1.0000,0.0000,253.951,3175.290,101,0.257426,1.0000,0.0000
6,19,1.0000,0.0000,257.981,1831.877,101,0.277228,1.0000,0.0000
6,21,1.0000,0.0000,259.599,1838.565,101,0.297030,1.0000,0.0000
6,23,1.0000,0.0000,256.444,2670.379,101,0.316832,1.0000,0.0000
6,26,1.0000,0.0000,253.758,2083.348,101,0.346535,1.0000,0.0000
6,28,1.0000,0.0000,256.184,2452.574,101,0.366337,1.0000,0.0000
6,31,1.0000,0.0000,254.697,1866.130,101,0.396040,1.0000,0.0000
6,34,1.0000,0.0000,247.890,2720.532,101,0.425743,1.0000,0.0000
6,37,1.0000,0.0000,246.623,1750.048,101,0.455446,1.0000,0.0000
6,41,1.0000,0.0000,248.812,2221.145,101,0.495050,1.0000,0.0000
6,45,1.0000,0.0000,246.053,2349.951,101,0.534653,1.0000,0.0000
6,50,1.0000,0.0000,250.514,1783.959,101,0.584158,1.0000,0.0000
6,55,1.0000,0.0000,244.192,1325.968,101,0.633663,1.0000,0.0000
6,60,1.0000,0.0000,250.561,1554.045,101,0.683168,1.0000,0.0000
6,66,1.0000,0.0000,246.959,1131.685,101,0.742574,1.0000,0.0000
6,73,1.0000,0.0000,247.191,1470.243,101,0.811881,1.0000,0.0000
6,80,1.0000,0.0000,243.059,1715.280,101,0.881188,1.0000,0.0000
6,88,1.0000,0.0000,245.237,1639.806,101,0.960396,1.0000,0.0000
6,97,1.0000,0.0000,244.078,2342.246,101,1.049505,1.0000,0.0000
7,1,1.0000,0.0000,279.078,2461.416,101,0.113861,1.0000,0.0000
7,2,1.0000,0.0000,265.894,1793.987,101,0.123762,1.0000,0.0000
7,3,1.0000,0.0000,259.521,2262.075,101,0.133663,1.0000,0.0000
7,4,1.0000,0.0000,251.612,1700.465,101,0.143564,1.0000,0.0000
7,5,1.0000,0.0000,254.560,2214.761,101,0.153465,1.0000,0.0000
7,6,1.0000,0.0000,244.378,1888.986,101,0.163366,1.0000,0.0000
7,7,1.0000,0.0000,245.178,1902.080,101,0.173267,1.0000,0.0000
7,8,1.0000,0.0000,242.185,1416.246,101,0.183168,1.0000,0.0000
7,9,1.0000,0.0000,245.864,2308.898,101,0.193069,1.0000,0.0000
7,10,1.0000,0.0000,245.682,1644.678,101,0.202970,1.0000,0.0000
7,11,1.0000,0.0000,246.518,1657.610,101,0.212871,1.0000,0.0000
7,12,1.0000,0.0000,244.161,2424.882,101,0.222772,1.0000,0.0000
7,13,1.0000,0.0000,244.618,1790.468,101,0.232673,1.0000,0.0000
7,14,1.0000,0.0000,243.414,2278.844,101,0.242574,1.0000,0.0000
7,16,1.0000,0.0000,243.437,2387.322,101,0.262376,1.0000,0.0000
7,17,1.0000,0.0000,249.251,2155.675,101,0.272277,1.0000,0.0000
7,19,1.0000,0.0000,256.400,2480.016,101,0.292079,1.0000,0.0000
7,21,1.0000,0.0000,247.073,1920.984,101,0.311881,1.0000,0.0000
7,23,1.0000,0.0000,252.110,3048.707,101,0.331683,1.0000,0.0000
7,26,1.0000,0.0000,248.961,2247.521,101,0.361386,1.0000,0.0000
7,28,1.0000,0.0000,251.773,2607.095,101,0.381188,1.0000,0.0000
7,31,1.0000,0.0000,252.447,1882.158,101,0.410891,1.0000,0.0000
7,34,1.0000,0.0000,247.501,1685.899,101,0.440594,1.0000,0.0000
7,37,1.0000,0.0000,241.957,1804.604,101,0.470297,1.0000,0.0000
7,41,1.0000,0.0000,241.819,2852.930,101,0.509901,1.0000,0.0000
7,45,1.0000,0.0000,240.880,1586.294,101,0.549505,1.0000,0.0000
7,50,1.0000,0.0000,244.157,2219.586,101,0.599010,1.0000,0.0000
7,55,1.0000,0.0000,244.690,1483.287,101,0.648515,1.0000,0.0000
7,60,1.0000,0.0000,241.233,1191.171,101,0.698020,1.0000,0.0000
7,66,1.0000,0.0000,243.930,1737.948,101,0.757426,1.0000,0.0000
7,73,1.0000,0.0000,242.752,1892.664,101,0.826733,1.0000,0.0000
7,80,1.0000,0.0000,242.324,1659.378,101,0.896040,1.0000,0.0000
7,88,1.0000,0.0000,240.319,2141.140,101,0.975248,1.0000,0.0000
7,97,1.0000,0.0000,239.732,3136.879,101,1.064356,1.0000,0.0000
8,1,1.0000,0.0000,278.046,2816.162,101,0.128713,1.0000,0.0000
8,2,1.0000,0.0000,264.870,2146.802,101,0.138614,1.0000,0.0000
8,3,1.0000,0.0000,254.797,1588.196,101,0.148515,1.0000,0.0000
8,4,1.0000,0.0000,249.416,1786.284,101,0.158416,1.0000,0.0000
8,5,1.0000,0.0000,248.564,2031.711,101,0.168317,1.0000,0.0000
8,6,1.0000,0.0000,240.725,1879.622,101,0.178218,1.0000,0.0000
8,7,1.0000,0.0000,241.960,1859.702,101,0.188119,1.0000,0.0000
8,8,1.0000,0.0000,240.690,1218.569,101,0.198020,1.0000,0.0000
8,9,1.0000,0.0000,239.405,2086.145,101,0.207921,1.0000,0.0000
8,10,1.0000,0.0000,242.160,2077.851,101,0.217822,1.0000,0.0000
8,11,1.0000,0.0000,235.528,1674.282,101,0.227723,1.0000,0.0000
8,12,1.0000,0.0000,240.073,2271.294,101,0.237624,1.0000,0.0000
8,13,1.0000,0.0000,240.331,1814.441,101,0.247525,1.0000,0.0000
8,14,1.0000,0.0000,237.910,1974.483,101,0.257426,1.0000,0.0000
8,16,1.0000,0.0000,240.248,1784.457,101,0.277228,1.0000,0.0000
8,17,1.0000,0.0000,241.371,2642.701,101,0.287129,1.0000,0.0000
8,19,1.0000,0.0000,244.983,2340.140,101,0.306931,1.0000,0.0000
8,21,1.0000,0.0000,248.787,3191.126,101,0.326733,1.0000,0.0000
8,23,1.0000,0.0000,245.581,2213.251,101,0.346535,1.0000,0.0000
8,26,1.0000,0.0000,247.856,3082.557,101,0.376238,1.0000,0.0000
8,28,1.0000,0.0000,248.611,1749.007,101,0.396040,1.0000,0.0000
8,31,1.0000,0.0000,250.196,1852.124,101,0.425743,1.0000,0.0000
8,34,1.0000,0.0000,239.766,2515.512,101,0.455446,1.0000,0.0000
8,37,1.0000,0.0000,234.974,1987.227,101,0.485149,1.0000,0.0000
8,41,1.0000,0.0000,235.240,1882.410,101,0.524752,1.0000,0.0000
8,45,1.0000,0.0000,239.065,1624.346,101,0.564356,1.0000,0.0000
8,50,1.0000,0.0000,240.201,1911.829,101,0.613861,1.0000,0.0000
8,55,1.0000,0.0000,238.360,1691.394,101,0.663366,1.0000,0.0000
8,60,1.0000,0.0000,240.474,1485.163,101,0.712871,1.0000,0.0000
8,66,1.0000,0.0000,239.790,1764.285,101,0.772277,1.0000,0.0000
8,73,1.0000,0.0000,243.638,1837.940,101,0.841584,1.0000,0.0000
8,80,1.0000,0.0000,241.254,2358.790,101,0.910891,1.0000,0.0000
8,88,1.0000,0.0000,232.906,2134.512,101,0.990099,1.0000,0.0000
8,97,1.0000,0.0000,233.177,2195.881,101,1.079208,1.0000,0.0000
9,1,1.0000,0.0000,275.160,2927.228,101,0.143564,1.0000,0.0000
9,2,1.0000,0.0000,261.723,1651.975,101,0.153465,1.0000,0.0000
9,3,1.0000,0.0000,248.786,2340.801,101,0.163366,1.0000,0.0000
9,4,1.0000,0.0000,245.945,2015.362,101,0.173267,1.0000,0.0000
9,5,1.0000,0.0000,247.896,2108.385,101,0.183168,1.0000,0.0000
9,6,1.0000,0.0000,239.779,1818.749,101,0.193069,1.0000,0.0000
9,7,1.0000,0.0000,238.209,2054.424,101,0.202970,1.0000,0.0000
9,8,1.0000,0.0000,240.061,1970.385,101,0.212871,1.0000,0.0000
